Year,Total_Revenue_Receipts,Tax_Revenue,Direct_Tax,Indirect_Tax,Non_Tax_Revenue,Revenue_Expenditure,Defence_Exp,Interest_Payments,Subsidies,Capital_Expenditure,Deficit_Gap_Crores
2025-26   ,2837408.89,1592830.8,908025.87,684804.93,1244578.09,3944255.27,311732.3,1276338.0,426216.21,1121090.0,1106846.38
2024-25   ,2556959.57,1414389.83,795929.33,618460.5,1142569.74,3698058.0,297222.35,1137940.0,427868.38,1018429.0,1141098.4300000002
2023-24   ,2327250.55,1233759.0,657366.0,576558.09,1093492.0,3494252.01,290442.92,1063872.0,434898.5,949195.0,1167001.46
2022-23   ,2097785.82,1052119.46,529415.92,523002.2,1045666.36,3453132.07,256183.44,928517.0,577915.86,740025.16,1355346.25
2021-22   ,1804793.0,865385.77,427227.6,438142.76,939407.23,3200926.29,228559.0,805499.0,503907.0,592875.0,1396133.29
2020-21   ,1426287.08,583210.21,299689.17,283507.42,843076.87,3083519.0,205788.59,679869.0,758165.34,426317.39,1657231.92
2019-20   ,1356902.28,638365.4,298203.5,340143.11,718536.88,2350604.33,207572.15,612070.02,262304.1,335725.62,993702.05
2018-19   ,1317211.0,723492.0,303508.0,419953.0,593719.0,2007399.09,195571.57,582648.45,222953.75,307713.52,690188.0900000001
2017-18   ,1242488.0,606216.0,258461.0,347712.0,636272.0,1878833.0,186127.25,528951.99,224455.15,263139.54,636345.0
2016-17   ,1101372.09,521287.44,225213.9,295960.3,580084.96,1690584.23,165409.77,480713.97,234808.87,284609.48,589212.1399999999
2015-16   ,943765.0,449296.0,172748.0,275917.0,494469.0,1537761.05,145936.51,441658.86,264105.5,253021.64,593996.05
2014-15   ,903615.2,500530.56,188335.94,311452.72,403084.64,1466992.0,136807.0,402444.0,258258.0,196681.32,563376.8
2013-14   ,815854.0,455829.0,169408.0,285742.0,360025.0,1371772.0,124374.0,374254.0,254632.0,187675.08,555918.0
2012-13   ,741877.36,396585.05,140437.61,255569.8,345292.31,1243514.0,111277.0,313170.0,257079.0,166858.13,501636.64
2011-12   ,629764.44,343310.0,118223.5,227410.51,286454.0,1145785.0,103011.0,273150.0,217941.0,158579.62,516020.56000000006
2010-11   ,569868.0,313501.0,102440.64,209114.61,256367.0,1040723.0,92061.0,234022.0,173420.0,156604.0,470855.0
2009-10   ,456536.0,271623.0,94532.0,176797.0,184913.0,911809.0,90669.0,213093.0,141351.0,112678.0,455273.0
2008-09   ,443319.0,248152.0,86985.0,160797.0,195169.0,793798.0,73305.0,192204.0,129708.0,90158.0,350479.0
2007-08   ,439547.0,231574.0,86563.0,144660.0,207972.0,594433.0,54219.0,171030.0,70926.0,118238.0,154886.0
2006-07   ,351182.0,169738.0,62707.0,106701.0,181444.0,514609.0,51682.0,150272.0,57125.0,68778.0,163427.0
